N° (original);Disponible Nov 2024;Nombre vulgar;lat;lon;Zona;ruta mapa;Categoria;Nombre Científico;Familia;Observaciones;Fijador de Nitrógeno;Acumulador Dinámico;Minerales;Propiedades;Época de siembra (CHILE);Método;Profundidad de Siembra;Tiempo de germinar;Transplante;Distancia entre (Plantas);Distancia entre (hileras);Tiempo para cosechar;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Meses UNIRCADENAS
;No;"Bambu
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Árboles y Arbustos Ornamentales;"Bambousa spp.
";"Gramineas
Poaceas";Prefiere suelos húmedos y ricos en materia orgánica. Requiere riego constante y espacio para crecer.;No;No;No aplica;"El cocimiento de dos pedazos de la raíz (del tamaño del dedo grande cada uno de ellos) en un jarro de agua-Se usa contra las
infecciones de la matriz, riñones y artritis-Tónico para los pulmones-Remineralizante-Laxante suave-";Septiembre - Octubre;Esquejes;-;20 a 30 días;-;1 m;2 m;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Canelo;-33.6843683;-70.9505468;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Drimys winteri ;Winteraceae;Prefiere suelos húmedos y bien drenados. Necesita sombra parcial y protección contra heladas.;No;No;No aplica;Antiespasmódico-Antibacteriano-Vermífugo-Analgésico-Cicatrizante;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;1 m;2 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
31;Sí;"Cipres
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;"Cupressus sempervirens
";"Cupresaceas
";Tolera suelos pobres y sequía. Prefiere pleno sol y es resistente a condiciones adversas.;No;No;No aplica;"Externo:Afirma los vasos sanguineos-Exceso sudor(conos)
Interno:Antiespasmódico-Tónico general-Tos, gripe";Invierno (junio a agosto);Almacigo;2 cm;30 a 50 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Ciruelo 2;-33.6843394;-70.9504953;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Prunus cerasifera ;Rosaceae;Prefiere suelos fértiles y bien drenados. Necesita exposición al sol y poda regular.;No Información;No Información;No Información;;;-;-;-;-;-;-;-;;;;;;;;;;;;;
;Sí;Ciruelo de jardín;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Prunus cerasifera;Rosaceas;Prefiere suelos fértiles y bien drenados. Requiere riego moderado y exposición al sol.;No;No;No aplica;Laxante;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Espino;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Acacia caven;Leguminosas-Fabaceas;Tolera suelos pobres y secos. Prefiere pleno sol y es resistente a la sequía.;Sí;No;No aplica;Fruto molido bebida(como café)-Estimulante-Digestiva. Corteza:Astringente, Cura heridas.;Julio - Agosto;Directa;2 cm;14 a 20 días;-;1 m;2 m;-;;;;;;;Julio;Agosto;;;;;"Julio;Agosto"
66;No;Eucalipto;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Eucalyptus globulus;Mirtaceas;Tolera suelos pobres y secos. Requiere pleno sol y espacio para crecer.;No;No;No aplica;Antiséptico-Expectorante-Estimula el flujo sanguineo local;Invierno (junio a agosto);Almacigo;2 cm;30 a 50 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Ginkgo biloba;-33.684299;-33.684299;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Ginkgo biloba;Ginkgoaceas;Prefiere suelos profundos y bien drenados. Tolera suelos pobres y condiciones urbanas.;No;No;No aplica;Hojas: Contienen Flavonoides-Mental-Mejora visión-Despega arterias y Venas;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 50 días;-;3 m;4 m;4 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
8;Sí;Huingan;-33.6840325;-70.9504041;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Schinus polygamus;Anacardaceas;Tolera suelos secos y pobres. Prefiere pleno sol y es resistente a la sequía.;No;No;No aplica;Sirve para:Desinfectar heridas-Nubes de los ojos-Galactógeno-Purgativa-Digestiva;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Lleuque;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Prumnopitys;Podorcapaceas;Prefiere suelos húmedos y sombreados. Crecimiento lento.;No;No;No aplica;Usado en carpintería y ebanistería-Propiedades antimicrobianas-Tradicionalmente utilizado en infusiones;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
